qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000104__CP010386_00052|IncFIB	NZ_LIZE01000039.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 map unlocalized plasmid pMT1 contig00039, whole genome shotgun sequence	1065	43087	1	1065	12452	13516	1065	26	97.559	100.0	100.0	plus	0.0	1823	replicon
CP042519_00001|rep_cluster_2272	NZ_LIZE01000056.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 map unlocalized plasmid pMT1 contig00056, whole genome shotgun sequence	756	32950	1	756	21305	22060	756	5	99.339	100.0	100.0	minus	0.0	1369	replicon
AJ851089|IncFII	NZ_LIZE01000056.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 map unlocalized plasmid pMT1 contig00056, whole genome shotgun sequence	261	32950	1	261	22166	22430	267	31	85.393	100.0	100.0	plus	3.47e-73	270	replicon
CP001049|IncFII	NZ_LIZE01000118.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 map unlocalized plasmid pCD1 contig00118, whole genome shotgun sequence	227	8862	1	227	1161	1387	227	0	100.0	100.0	100.0	plus	2.8000000000000003e-118	420	replicon
002101__NC_004564_00056|rep_cluster_645	NZ_LIZE01000127.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 map unlocalized plasmid pCD1 contig00127, whole genome shotgun sequence	1167	7006	1	1167	1078	2244	1167	10	99.143	100.0	100.0	plus	0.0	2100	replicon
NC_021501_00073|MOBF	NZ_LIZE01000056.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 map unlocalized plasmid pMT1 contig00056, whole genome shotgun sequence	1746	32950	1	1746	25592	30829	1746	34	98.053	100.0	100.0	minus	0.0	3319	relaxase
NC_010157_00072|MOBF	NZ_LIZE01000123.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 map unlocalized plasmid pCD1 contig00123, whole genome shotgun sequence	152	7551	1	152	6967	7422	152	0	100.0	100.0	100.0	plus	1.57e-101	316	relaxase
NC_009378_00113|MPF_T	NZ_LIZE01000056.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 map unlocalized plasmid pMT1 contig00056, whole genome shotgun sequence	703	32950	1	703	30832	32940	703	0	100.0	100.0	100.0	minus	0.0	1244	mate-pair-formation
NC_021501_00097|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	101	18881	1	101	676	978	101	2	98.02	100.0	100.0	plus	1.02e-63	205	mate-pair-formation
NC_006323_00096|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	464	18881	1	464	2279	3670	464	0	100.0	100.0	100.0	plus	0.0	840	mate-pair-formation
NC_006323_00097|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	179	18881	1	179	3695	4231	179	0	100.0	100.0	100.0	plus	2.54e-108	337	mate-pair-formation
NC_009378_00101|MPF_T	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	876	18881	1	876	5704	8331	876	1	99.886	100.0	100.0	plus	0.0	1786	mate-pair-formation
NC_006323_00105|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	215	18881	19	215	8732	9322	197	0	100.0	92.0	92.0	plus	1.38e-129	399	mate-pair-formation
NC_021501_00085|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	330	18881	1	330	9322	10311	330	16	95.152	100.0	100.0	plus	0.0	624	mate-pair-formation
NC_021501_00084|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	209	18881	1	209	10331	10957	209	9	95.694	100.0	100.0	plus	3.44e-127	392	mate-pair-formation
NC_006323_00108|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	616	18881	1	616	10957	12804	616	0	100.0	100.0	100.0	plus	0.0	1170	mate-pair-formation
NC_006323_00113|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	456	18881	1	456	14607	15974	456	0	100.0	100.0	100.0	plus	0.0	910	mate-pair-formation
NC_021501_00076|MPF_F	NZ_LIZE01000093.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6536 contig00093, whole genome shotgun sequence	940	18881	1	928	15977	18760	928	39	95.797	99.0	99.0	plus	0.0	1738	mate-pair-formation
