qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NZ_CP014489|MOBF	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	268	56991	1	268	45311	45578	268	0	100.0	100.0	100.0	minus	5.589999999999999e-141	496	oriT
002101__NC_004564_00056|rep_cluster_645	NZ_SJZK02000011.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-1, whole genome shotgun sequence	1167	75179	1	1167	1	1167	1167	7	99.4	100.0	100.0	plus	0.0	2117	replicon
CP017588_00047|rep_cluster_2203	NZ_SJZK02000011.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-1, whole genome shotgun sequence	867	75179	39	856	56912	57729	821	158	80.024	94.0	94.0	minus	1.09e-172	603	replicon
CP001049|IncFII	NZ_SJZK02000011.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-1, whole genome shotgun sequence	227	75179	1	227	57759	57985	227	2	99.119	100.0	100.0	minus	6.24e-115	409	replicon
000153__NC_019087_00001|IncN	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	720	56991	1	720	1	720	720	0	100.0	100.0	100.0	plus	0.0	1330	replicon
NC_015475_00074|MOBF	NZ_SJZK02000011.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-1, whole genome shotgun sequence	149	75179	1	149	61234	61680	149	1	99.329	100.0	100.0	minus	7.6e-96	299	relaxase
NC_015599_00019|MOBF	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	1080	56991	1	1059	40126	43302	1059	2	99.811	98.0	98.0	minus	0.0	2030	relaxase
NC_008612_00190|MPF_T	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	294	56991	1	294	25814	26695	294	2	99.32	100.0	100.0	minus	1.04e-178	544	mate-pair-formation
NC_007682_00044|MPF_T	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	232	56991	1	232	26709	27404	232	0	100.0	100.0	100.0	minus	6.44e-158	481	mate-pair-formation
NC_014368_00014|MPF_T	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	346	56991	1	346	27626	28663	346	28	91.908	100.0	100.0	minus	9.77e-167	513	mate-pair-formation
NC_011617_00041|MPF_T	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	866	56991	1	866	29648	32245	866	2	99.769	100.0	100.0	minus	0.0	1809	mate-pair-formation
NC_009131_00030|MPF_T	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	105	56991	1	105	32248	32562	105	0	100.0	100.0	100.0	minus	4.2600000000000004e-66	212	mate-pair-formation
NC_022375_00024|MPF_T	NZ_SJZK02000012.1 Yersinia enterocolitica subsp. palearctica strain CFS1932 plasmid pCFS1932-2, whole genome shotgun sequence	509	56991	1	509	43305	44831	509	1	99.804	100.0	100.0	minus	0.0	996	mate-pair-formation
