qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
JQ319772|MOBH	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	398	127956	1	398	108533	108930	398	0	100.0	100.0	100.0	plus	0.0	736	oriT
000092__CP025470|IncC	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	1101	127956	1	1101	109747	110847	1101	0	100.0	100.0	100.0	plus	0.0	2034	replicon
002101__NC_004564_00056|rep_cluster_645	NZ_JAHSRG010000033.1 Yersinia enterocolitica strain R42 MENMGBMB_33, whole genome shotgun sequence	1167	50938	1	1167	1826	2992	1167	5	99.572	100.0	100.0	plus	0.0	2128	replicon
CP017588_00047|rep_cluster_2203	NZ_JAHSRG010000091.1 Yersinia enterocolitica strain R42 MENMGBMB_91, whole genome shotgun sequence	867	5771	39	856	1266	2083	822	155	80.17	94.0	94.0	minus	2.31e-174	608	replicon
CP001049|IncFII	NZ_JAHSRG010000091.1 Yersinia enterocolitica strain R42 MENMGBMB_91, whole genome shotgun sequence	227	5771	1	227	2113	2339	227	2	99.119	100.0	100.0	minus	6.14e-115	409	replicon
NC_012885_00072|MOBH	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	987	127956	1	986	24068	27040	993	107	88.318	99.0	99.0	plus	0.0	1595	relaxase
NC_012690_00071|MOBH	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	458	127956	245	458	33601	34242	214	4	98.131	47.0	100.0	plus	1.42e-139	440	relaxase
NC_015475_00074|MOBF	NZ_JAHSRG010000074.1 Yersinia enterocolitica strain R42 MENMGBMB_74, whole genome shotgun sequence	149	11530	1	149	237	683	149	3	97.987	100.0	100.0	minus	1.24e-94	296	relaxase
NC_009140_00071|MPF_F	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	621	127956	1	621	27043	28905	621	1	99.839	100.0	100.0	plus	0.0	1176	mate-pair-formation
NC_014170_00023|MPF_F	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	305	127956	1	305	33328	34242	305	24	92.131	100.0	100.0	plus	0.0	569	mate-pair-formation
NC_012885_00083|MPF_F	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	438	127956	1	438	34242	35555	438	42	90.411	100.0	100.0	plus	0.0	752	mate-pair-formation
NC_016974_00085|MPF_F	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	192	127956	1	192	35555	36130	192	1	99.479	100.0	100.0	plus	3.54e-118	365	mate-pair-formation
NC_012885_00088|MPF_T	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	815	127956	1	815	43114	45558	815	15	98.16	100.0	100.0	plus	0.0	1640	mate-pair-formation
NC_012885_00091|MPF_F	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	422	127956	1	422	46383	47645	422	26	93.602	100.0	100.0	plus	0.0	818	mate-pair-formation
NC_023291_00077|MPF_F	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	335	127956	1	335	48313	49317	335	4	98.806	100.0	100.0	plus	0.0	581	mate-pair-formation
NC_012885_00167|MPF_F	NZ_JAHSRG010000007.1 Yersinia enterocolitica strain R42 MENMGBMB_7, whole genome shotgun sequence	477	127956	1	477	98510	99940	477	12	97.484	100.0	100.0	plus	0.0	931	mate-pair-formation
