sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000001.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_1_length_382260_cov_7.26107, whole genome shotgun sequence	382260	0.49124156333385655	0063843c7a3d6adbcb70612aba42d56d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000002.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_2_length_321601_cov_7.46448, whole genome shotgun sequence	321601	0.4940314240316417	efca1cf64740eaf770e2d10524c29263	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000003.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_3_length_228669_cov_7.65468, whole genome shotgun sequence	228669	0.491487696189689	5dd8857bc1eabe7a3f4339d1596f5019	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000004.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_4_length_205301_cov_6.76876, whole genome shotgun sequence	205301	0.48244772309925427	0c6dba3c343ad4fff4aab4e77aa78cd4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000005.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_5_length_171685_cov_7.31593, whole genome shotgun sequence	171685	0.4938637621224918	527906668cc935e4f562a2cae0c1077a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000006.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_6_length_166305_cov_6.81758, whole genome shotgun sequence	166305	0.45802591623823696	dd335d2226d6121fa1ef5ea712b361b7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000007.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_7_length_144319_cov_7.19218, whole genome shotgun sequence	144319	0.47350660689167745	48e87810e33632908be60f17281043b0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000008.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_8_length_143293_cov_7.30026, whole genome shotgun sequence	143293	0.4916988268791916	56916dd0394d2565196bef39c2a75c8d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000009.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_9_length_141057_cov_7.20482, whole genome shotgun sequence	141057	0.4937720212396407	22e1fb005639ab132b82a258adc10b90	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_002192845.1.fna	chromosome	-	-	NZ_MWTM01000010.1 Yersinia entomophaga strain SCPM-O-B-7183 NODE_10_length_133936_cov_7.53601, whole genome shotgun sequence	133936	0.47569734798709834	d70036368c3b4e3ba0ec0859d2b1c91a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
