qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000164__NC_022344_00310|IncP	ACAFCK010000005.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.05, whole genome shotgun sequence	858	255268	19	858	33597	34436	843	130	83.867	98.0	98.0	plus	0.0	798	replicon
002438__NC_009705_00164|rep_cluster_957	ACAFCK010000011.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.11, whole genome shotgun sequence	1020	162586	1	1020	62203	63222	1020	112	89.02	100.0	100.0	plus	0.0	1264	replicon
CP010360_00062|MOBP	ACAFCK010000005.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.05, whole genome shotgun sequence	667	255268	1	663	37256	39244	667	65	89.055	99.0	99.0	plus	0.0	1062	relaxase
NC_022344_00321|MPF_T	ACAFCK010000005.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.05, whole genome shotgun sequence	667	255268	1	667	43533	45536	670	60	90.299	100.0	100.0	plus	0.0	1160	mate-pair-formation
NC_008757_00075|MPF_T	ACAFCK010000005.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.05, whole genome shotgun sequence	813	255268	1	806	47744	50149	806	95	87.717	99.0	99.0	plus	0.0	1399	mate-pair-formation
NC_022344_00330|MPF_T	ACAFCK010000005.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.05, whole genome shotgun sequence	234	255268	1	234	52670	53371	234	23	90.171	100.0	100.0	plus	4.79e-143	439	mate-pair-formation
NC_008757_00079|MPF_T	ACAFCK010000005.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.05, whole genome shotgun sequence	337	255268	1	329	53371	54357	329	55	83.283	98.0	98.0	plus	1.5e-153	474	mate-pair-formation
NC_009705_00134|MPF_I	ACAFCK010000011.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.11, whole genome shotgun sequence	282	162586	1	279	39500	40336	279	28	89.964	99.0	99.0	minus	1.17e-170	521	mate-pair-formation
NC_009705_00138|MPF_I	ACAFCK010000011.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.11, whole genome shotgun sequence	264	162586	1	264	43109	43885	265	41	81.887	100.0	100.0	plus	1.31e-141	436	mate-pair-formation
NC_009705_00139|MPF_I	ACAFCK010000011.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.11, whole genome shotgun sequence	361	162586	1	361	43890	44972	361	38	89.474	100.0	100.0	plus	0.0	642	mate-pair-formation
NC_009705_00148|MPF_I	ACAFCK010000011.1 Yersinia enterocolitica strain 01796267 SAMN50534110-rid27286783.denovo.11, whole genome shotgun sequence	934	162586	1	934	53457	56261	935	85	90.802	100.0	100.0	plus	0.0	1629	mate-pair-formation
