sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000001.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.01, whole genome shotgun sequence	486604	0.47447000024660707	b88e33c98940628a50427b62b21cbe3d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000002.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.02, whole genome shotgun sequence	324392	0.4702212138400454	8b34c1bf9c23c0138e15c9937ab819a6	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000003.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.03, whole genome shotgun sequence	319546	0.4732964893943282	bd7c254968654953c7ae5fa1c36c2f1c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000004.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.04, whole genome shotgun sequence	296225	0.4574293189298675	5dcb74e6d24ce9c7f51dc04f85c80df3	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000005.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.05, whole genome shotgun sequence	270809	0.47306034880672354	20f682154acf56610d425bd16468b988	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000006.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.06, whole genome shotgun sequence	263707	0.4673141023939448	dc490c330a650054242665725d5f713f	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000007.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.07, whole genome shotgun sequence	258083	0.47011232820449234	cb0ca64683db05e3cf87cb1529a1376a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000008.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.08, whole genome shotgun sequence	196142	0.4712249288780577	6cbe836720da6affa24414e67e9c9080	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000009.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.09, whole genome shotgun sequence	192694	0.47801176995651135	b90ca7e343b4bb60d2e94fd8db5bf793	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000010.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.10, whole genome shotgun sequence	184270	0.4656807944863515	0f640bd618e24051b0b813e9140debe7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000011.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.11, whole genome shotgun sequence	165552	0.47209940079250023	0c349c2bcaa1fac3a8f834bc796626f8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000012.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.12, whole genome shotgun sequence	150751	0.47875635982514214	04f5131438a6cbd92f57bb64b0b01410	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000013.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.13, whole genome shotgun sequence	117918	0.48205532658287964	9d4cc03b9f2aa642469b49ff5fb697d5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000014.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.14, whole genome shotgun sequence	105782	0.4783233442362595	e08c7e513ac4444230ab47253eb378de	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_028836285.1.fna	chromosome	-	-	ABKTEL010000015.1 Yersinia enterocolitica strain 1646563 SAMN30147067-rid15001163.denovo.15, whole genome shotgun sequence	103547	0.4605927742957304	99394ee48d9de708cfd11e03a8d6a0ba	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
