sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	01399	CP016586.1	16s-rRNA	16S	1554	1	1547	83859	85406						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	01400	CP016586.1	23s-rRNA	23S	3027	658	3027	86414	88786						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	00336	NC_003134	ISEc39	IS256	1316	2	1316	121846	123160						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	00279	EU330199	IS100X	IS21	2247	294	2247	236412	238365						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	01399	CP016586.1	16s-rRNA	16S	1554	1	1547	251830	253377						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	01400	CP016586.1	23s-rRNA	23S	3027	658	3027	254445	256817						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	00279	EU330199	IS100X	IS21	2247	294	2247	261238	263191						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	01399	CP016586.1	16s-rRNA	16S	1554	1	1547	294694	296241						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	01400	CP016586.1	23s-rRNA	23S	3027	658	3027	297309	299681						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	00279	EU330199	IS100X	IS21	2247	294	2247	302059	304012						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	00279	EU330199	IS100X	IS21	2247	294	2247	540055	542008						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	00279	EU330199	IS100X	IS21	2247	293	2247	694115	696069						
GCF_052374135.1.fna	chromosome			NZ_CM126265.1 Yersinia pestis strain 26_YP30_SZ chromosome, whole genome shotgun sequence	4529230	0.47624673509625254	d7aadc612498abd9f5607a5b31a7f4b9	00279	EU330199	IS100X	IS21	2247	309	2247	864064	866002						
