qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000126__FO834904|IncFII	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	228	70709	31	228	68280	68477	202	26	83.168	87.0	87.0	minus	2.11e-45	178	replicon
000621__CP009126_00005|rep_cluster_1304	DAQCYD010000032.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.33, whole genome shotgun sequence	918	29948	6	918	1424	2336	914	14	98.249	99.0	99.0	minus	0.0	1598	replicon
CP042948_00076|MOBF	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	1552	70709	1	1495	60138	64637	1503	283	80.439	96.0	100.0	plus	0.0	2419	relaxase
CP009126_00025|MOBC	DAQCYD010000032.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.33, whole genome shotgun sequence	248	29948	1	248	21195	21938	248	5	97.984	100.0	100.0	plus	5.54e-165	503	relaxase
NC_019342_00064|MPF_F	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	101	70709	1	101	39047	39349	101	6	94.059	100.0	100.0	plus	1.7199999999999999e-60	196	mate-pair-formation
NC_021871_00033|MPF_F	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	187	70709	1	187	39371	39931	187	26	86.096	100.0	100.0	plus	3.79e-101	317	mate-pair-formation
NZ_AGTD01000004_00094|MPF_T	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	863	70709	1	854	43453	46014	854	87	89.813	99.0	99.0	plus	0.0	1583	mate-pair-formation
NC_021871_00022|MPF_F	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	212	70709	3	211	46508	47134	209	27	87.081	99.0	99.0	plus	2.47e-123	381	mate-pair-formation
NC_021817_00023|MPF_F	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	331	70709	22	331	47203	48132	310	20	93.548	94.0	94.0	plus	0.0	590	mate-pair-formation
NC_021871_00019|MPF_F	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	204	70709	20	201	48578	49123	182	32	82.418	89.0	89.0	plus	3.52e-89	283	mate-pair-formation
NC_021871_00015|MPF_F	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	453	70709	1	453	52362	53720	453	50	88.962	100.0	100.0	plus	0.0	785	mate-pair-formation
NC_021817_00013|MPF_T	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	763	70709	18	763	57955	60135	746	124	80.831	98.0	98.0	plus	0.0	1210	mate-pair-formation
NC_009790_00086|MPF_T	DAQCYD010000022.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000232 SAMN36403484-rid18771943.denovo.22, whole genome shotgun sequence	681	70709	460	669	64257	64886	210	40	80.952	31.0	98.0	plus	4.35e-107	355	mate-pair-formation
