qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000126__FO834904|IncFII	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	228	61875	31	225	4119	4313	199	25	83.417	86.0	86.0	plus	2.08e-45	178	replicon
CP042948_00076|MOBF	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	1552	61875	1	1495	7959	12458	1503	283	80.439	96.0	100.0	minus	0.0	2419	relaxase
CP009870_00005|MOBQ	NZ_JBPYBB010000032.1 Yersinia enterocolitica strain DSY76-5 contig00032, whole genome shotgun sequence	365	6859	1	365	2385	3497	371	45	86.253	100.0	100.0	plus	0.0	611	relaxase
CP042516_00001|MOBV	NZ_JBPYBB010000044.1 Yersinia enterocolitica strain DSY76-5 contig00044, whole genome shotgun sequence	338	2803	1	338	628	1641	338	0	100.0	100.0	100.0	minus	0.0	648	relaxase
NC_009790_00086|MPF_T	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	681	61875	460	669	7710	8339	210	40	80.952	31.0	98.0	minus	4.26e-107	355	mate-pair-formation
NC_021817_00013|MPF_T	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	763	61875	18	763	12461	14641	746	124	80.831	98.0	98.0	minus	0.0	1210	mate-pair-formation
NC_021871_00015|MPF_F	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	453	61875	1	453	18876	20234	453	50	88.962	100.0	100.0	minus	0.0	785	mate-pair-formation
NC_021871_00019|MPF_F	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	204	61875	20	201	23473	24018	182	32	82.418	89.0	89.0	minus	3.46e-89	283	mate-pair-formation
NC_021817_00023|MPF_F	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	331	61875	22	331	24464	25393	310	20	93.548	94.0	94.0	minus	0.0	590	mate-pair-formation
NC_021871_00022|MPF_F	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	212	61875	3	211	25462	26088	209	27	87.081	99.0	99.0	minus	2.4300000000000003e-123	381	mate-pair-formation
NZ_AGTD01000004_00094|MPF_T	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	863	61875	1	854	26582	29143	854	87	89.813	99.0	99.0	minus	0.0	1583	mate-pair-formation
NC_021871_00033|MPF_F	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	187	61875	1	187	32665	33225	187	26	86.096	100.0	100.0	minus	3.73e-101	317	mate-pair-formation
NC_019342_00064|MPF_F	NZ_JBPYBB010000020.1 Yersinia enterocolitica strain DSY76-5 contig00020, whole genome shotgun sequence	101	61875	1	101	33247	33549	101	6	94.059	100.0	100.0	minus	1.6899999999999998e-60	196	mate-pair-formation
