qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000104__CP010386_00052|IncFIB	NZ_AOSA01000051.1 Yersinia pestis G1670A contig00053, whole genome shotgun sequence	1065	43071	1	1065	29566	30630	1065	26	97.559	100.0	100.0	minus	0.0	1823	replicon
002101__NC_004564_00056|rep_cluster_645	NZ_AOSA01000064.1 Yersinia pestis G1670A contig00067, whole genome shotgun sequence	1167	9260	1	1167	743	1909	1167	10	99.143	100.0	100.0	plus	0.0	2100	replicon
CP001049|IncFII	NZ_AOSA01000069.1 Yersinia pestis G1670A contig00072, whole genome shotgun sequence	227	3404	1	227	734	960	227	0	100.0	100.0	100.0	plus	2.79e-118	420	replicon
CP042519_00001|rep_cluster_2272	NZ_AOSA01000134.1 Yersinia pestis G1670A contig00152, whole genome shotgun sequence	756	32949	1	756	21304	22059	756	5	99.339	100.0	100.0	minus	0.0	1369	replicon
AJ851089|IncFII	NZ_AOSA01000134.1 Yersinia pestis G1670A contig00152, whole genome shotgun sequence	261	32949	1	261	22165	22429	267	31	85.393	100.0	100.0	plus	3.46e-73	270	replicon
NC_010157_00072|MOBF	NZ_AOSA01000130.1 Yersinia pestis G1670A contig00147, whole genome shotgun sequence	152	7601	1	152	128	583	152	0	100.0	100.0	100.0	minus	1.57e-101	316	relaxase
NC_021501_00073|MOBF	NZ_AOSA01000134.1 Yersinia pestis G1670A contig00152, whole genome shotgun sequence	1746	32949	1	1746	25591	30828	1746	34	98.053	100.0	100.0	minus	0.0	3319	relaxase
NC_021501_00097|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	101	18879	1	101	673	975	101	2	98.02	100.0	100.0	plus	1.02e-63	205	mate-pair-formation
NC_006323_00096|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	464	18879	1	464	2276	3667	464	0	100.0	100.0	100.0	plus	0.0	840	mate-pair-formation
NC_006323_00097|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	179	18879	1	179	3692	4228	179	0	100.0	100.0	100.0	plus	2.53e-108	337	mate-pair-formation
NC_009378_00101|MPF_T	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	876	18879	1	876	5701	8328	876	1	99.886	100.0	100.0	plus	0.0	1786	mate-pair-formation
NC_006323_00105|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	215	18879	19	215	8729	9319	197	0	100.0	92.0	92.0	plus	1.37e-129	399	mate-pair-formation
NC_021501_00085|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	330	18879	1	330	9319	10308	330	16	95.152	100.0	100.0	plus	0.0	624	mate-pair-formation
NC_021501_00084|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	209	18879	1	209	10328	10954	209	9	95.694	100.0	100.0	plus	3.43e-127	392	mate-pair-formation
NC_006323_00108|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	616	18879	1	616	10954	12801	616	0	100.0	100.0	100.0	plus	0.0	1170	mate-pair-formation
NC_006323_00113|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	456	18879	1	456	14604	15971	456	0	100.0	100.0	100.0	plus	0.0	910	mate-pair-formation
NC_021501_00076|MPF_F	NZ_AOSA01000055.1 Yersinia pestis G1670A contig00057, whole genome shotgun sequence	940	18879	1	928	15974	18757	928	39	95.797	99.0	99.0	plus	0.0	1738	mate-pair-formation
NC_009378_00113|MPF_T	NZ_AOSA01000134.1 Yersinia pestis G1670A contig00152, whole genome shotgun sequence	703	32949	1	703	30831	32939	703	0	100.0	100.0	100.0	minus	0.0	1244	mate-pair-formation
