qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
001482__CP016942_00095|rep_cluster_214	NZ_CP139468.1 Yersinia enterocolitica strain C21 plasmid Plas1, complete sequence	1434	108846	1	1434	10627	12060	1434	0	100.0	100.0	100.0	minus	0.0	2649	replicon
CP017588_00047|rep_cluster_2203	NZ_CP139469.1 Yersinia enterocolitica strain C21 plasmid Plas2, complete sequence	867	73427	39	856	37401	38218	821	158	80.024	94.0	94.0	minus	1.16e-172	603	replicon
CP001049|IncFII	NZ_CP139469.1 Yersinia enterocolitica strain C21 plasmid Plas2, complete sequence	227	73427	1	227	38248	38474	227	2	99.119	100.0	100.0	minus	6.61e-115	409	replicon
002101__NC_004564_00056|rep_cluster_645	NZ_CP139469.1 Yersinia enterocolitica strain C21 plasmid Plas2, complete sequence	1167	73427	1	1167	57438	58604	1167	6	99.486	100.0	100.0	plus	0.0	2122	replicon
NC_010377_00020|MOBF	NZ_CP139468.1 Yersinia enterocolitica strain C21 plasmid Plas1, complete sequence	1656	108846	1	1656	94266	99233	1656	20	98.792	100.0	100.0	minus	0.0	3291	relaxase
NC_015475_00074|MOBF	NZ_CP139469.1 Yersinia enterocolitica strain C21 plasmid Plas2, complete sequence	149	73427	1	149	54373	54819	149	2	98.658	100.0	100.0	plus	3.54e-95	298	relaxase
NC_010377_00073|MPF_F	NZ_CP139468.1 Yersinia enterocolitica strain C21 plasmid Plas1, complete sequence	216	108846	1	216	15495	16142	216	3	98.611	100.0	100.0	plus	2.77e-142	436	mate-pair-formation
NC_010377_00071|MPF_F	NZ_CP139468.1 Yersinia enterocolitica strain C21 plasmid Plas1, complete sequence	416	108846	1	416	16932	18179	416	5	98.798	100.0	100.0	plus	0.0	809	mate-pair-formation
NC_010377_00069|MPF_T	NZ_CP139468.1 Yersinia enterocolitica strain C21 plasmid Plas1, complete sequence	857	108846	1	857	18712	21282	857	5	99.417	100.0	100.0	plus	0.0	1747	mate-pair-formation
NC_010377_00065|MPF_F	NZ_CP139468.1 Yersinia enterocolitica strain C21 plasmid Plas1, complete sequence	527	108846	1	527	25242	26822	527	5	99.051	100.0	100.0	plus	0.0	1089	mate-pair-formation
NC_010377_00060|MPF_F	NZ_CP139468.1 Yersinia enterocolitica strain C21 plasmid Plas1, complete sequence	462	108846	1	462	29320	30705	462	4	99.134	100.0	100.0	plus	0.0	954	mate-pair-formation
NC_010377_00019|MPF_T	NZ_CP139468.1 Yersinia enterocolitica strain C21 plasmid Plas1, complete sequence	690	108846	1	690	99237	101306	690	3	99.565	100.0	100.0	minus	0.0	1341	mate-pair-formation
