qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
HQ328804|MOBP	ABKTKM010000090.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.091, whole genome shotgun sequence	174	1916	1	174	692	865	174	6	96.552	100.0	100.0	minus	6.750000000000001e-79	289	oriT
002438__NC_009705_00164|rep_cluster_957	ABKTKM010000034.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.034, whole genome shotgun sequence	1020	54874	1	1020	24329	25348	1020	112	89.02	100.0	100.0	plus	0.0	1264	replicon
000621__CP009126_00005|rep_cluster_1304	ABKTKM010000046.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.046, whole genome shotgun sequence	918	26571	6	918	364	1276	914	15	98.14	99.0	99.0	minus	0.0	1592	replicon
000152__NZ_CP011646_00085|IncN	ABKTKM010000052.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.052, whole genome shotgun sequence	882	18555	1	882	17588	18469	883	96	88.901	100.0	100.0	plus	0.0	1086	replicon
CP014779_00007|rep_cluster_2324	ABKTKM010000078.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.079, whole genome shotgun sequence	651	2815	1	604	1291	1894	606	36	93.399	93.0	93.0	plus	0.0	894	replicon
KU302809_00001|rep_cluster_2335	ABKTKM010000086.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.087, whole genome shotgun sequence	606	2265	57	606	110	660	551	25	95.281	91.0	91.0	minus	0.0	872	replicon
KU302809_00001|rep_cluster_2335	ABKTKM010000090.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.091, whole genome shotgun sequence	606	1916	1	560	789	1349	565	24	94.159	92.0	92.0	plus	0.0	852	replicon
NC_015872_00034|MOBF	ABKTKM010000052.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.052, whole genome shotgun sequence	1068	18555	1	1068	5501	8716	1072	20	97.761	100.0	100.0	plus	0.0	2003	relaxase
NC_009705_00134|MPF_I	ABKTKM010000034.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.034, whole genome shotgun sequence	282	54874	1	279	1626	2462	279	28	89.964	99.0	99.0	minus	1.17e-170	521	mate-pair-formation
NC_009705_00138|MPF_I	ABKTKM010000034.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.034, whole genome shotgun sequence	264	54874	1	264	5235	6011	265	41	81.887	100.0	100.0	plus	1.31e-141	436	mate-pair-formation
NC_009705_00139|MPF_I	ABKTKM010000034.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.034, whole genome shotgun sequence	361	54874	1	361	6016	7098	361	38	89.474	100.0	100.0	plus	0.0	642	mate-pair-formation
NC_009705_00148|MPF_I	ABKTKM010000034.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.034, whole genome shotgun sequence	934	54874	1	934	15583	18387	935	85	90.802	100.0	100.0	plus	0.0	1629	mate-pair-formation
NC_015872_00033|MPF_T	ABKTKM010000052.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.052, whole genome shotgun sequence	510	18555	1	510	3964	5493	510	51	90.0	100.0	100.0	plus	0.0	939	mate-pair-formation
NC_015872_00011|MPF_T	ABKTKM010000052.1 Yersinia enterocolitica isolate 731603 SAMN11890776-rid7668213.denovo.052, whole genome shotgun sequence	105	18555	1	105	12309	12623	105	1	99.048	100.0	100.0	minus	3.7e-67	215	mate-pair-formation
