Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description	Hierarchy node
NA	ACCTFE010000046.1	36006	36887	+	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	294	294	100.00	100.00	294	WP_005165780.1	class A beta-lactamase BlaA	NA	NA	blaA_Yent
NA	ACCTFE010000049.1	75	737	+	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	221	221	100.00	100.00	221	WP_005164767.1	streptogramin A O-acetyltransferase Vat(F)	NA	NA	vat(F)
NA	ACCTFE010000079.1	10577	11413	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA	sul1
NA	ACCTFE010000079.1	11410	11754	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA	qacEdelta1
NA	ACCTFE010000079.1	11921	12709	-	aadA12	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_031306504.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12	NA	NA	aadA12
NA	ACCTFE010000079.1	18727	19383	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.00	100.00	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA	catA1
NA	ACCTFE010000203.1	65	901	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA	sul1
NA	ACCTFE010000204.1	7080	7961	+	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	294	294	100.00	100.00	294	WP_005165780.1	class A beta-lactamase BlaA	NA	NA	blaA_Yent
NA	ACCTFE010000205.1	263	919	+	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.00	100.00	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA	catA1
NA	ACCTFE010000205.1	6937	7725	+	aadA12	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_031306504.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12	NA	NA	aadA12
NA	ACCTFE010000205.1	7892	8236	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA	qacEdelta1
NA	ACCTFE010000205.1	8233	8802	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIAL_CONTIG_ENDX	190	279	68.10	100.00	190	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA	sul1
NA	ACCTFE010000206.1	263	919	+	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.00	100.00	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA	catA1
NA	ACCTFE010000206.1	6937	7725	+	aadA12	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_031306504.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12	NA	NA	aadA12
NA	ACCTFE010000206.1	7892	8236	+	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	115	115	100.00	99.13	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA	qacE_gen
NA	ACCTFE010000206.1	8233	8802	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIAL_CONTIG_ENDX	190	279	68.10	100.00	190	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA	sul1
NA	ACCTFE010000208.1	103	765	+	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	221	221	100.00	100.00	221	WP_005164767.1	streptogramin A O-acetyltransferase Vat(F)	NA	NA	vat(F)
