qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
JQ319772|MOBH	DBKQVS010000004.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.denovo.004, whole genome shotgun sequence	398	123917	1	398	103951	104348	398	0	100.0	100.0	100.0	plus	0.0	736	oriT
CP018223|MOBP	DBKQVS010000108.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.denovo.113, whole genome shotgun sequence	175	5208	1	175	1971	2145	175	2	98.857	100.0	100.0	plus	3.71e-86	313	oriT
CP018223|MOBP	DBKQVS010000137.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.guided.112, whole genome shotgun sequence	175	5218	1	175	3074	3248	175	2	98.857	100.0	100.0	minus	3.71e-86	313	oriT
000092__CP025470|IncC	DBKQVS010000004.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.denovo.004, whole genome shotgun sequence	1101	123917	1	1101	105165	106265	1101	0	100.0	100.0	100.0	plus	0.0	2034	replicon
002101__NC_004564_00056|rep_cluster_645	DBKQVS010000042.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.denovo.042, whole genome shotgun sequence	1167	40643	1	1167	1609	2775	1167	5	99.572	100.0	100.0	plus	0.0	2128	replicon
CP001049|IncFII	DBKQVS010000106.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.denovo.109, whole genome shotgun sequence	227	5727	1	224	3492	3715	224	1	99.554	99.0	99.0	plus	6.11e-115	409	replicon
CP017588_00047|rep_cluster_2203	DBKQVS010000106.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.denovo.109, whole genome shotgun sequence	867	5727	33	856	3742	4565	828	157	80.072	95.0	95.0	plus	2.3000000000000003e-174	608	replicon
KU302809_00001|rep_cluster_2335	DBKQVS010000108.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.denovo.113, whole genome shotgun sequence	606	5208	55	547	1501	1993	494	35	92.51	81.0	81.0	minus	0.0	706	replicon
KU302809_00001|rep_cluster_2335	DBKQVS010000137.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.guided.112, whole genome shotgun sequence	606	5218	55	547	3226	3718	494	35	92.51	81.0	81.0	plus	0.0	706	replicon
NC_012885_00072|MOBH	DBKQVS010000004.1 TPA_asm: Yersinia enterocolitica strain PNUSAY000987 SAMN53243963-rid28111573.denovo.004, whole genome shotgun sequence	987	123917	1	986	19486	22458	993	107	88.318	99.0	99.0	plus	0.0	1595	relaxase
