qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
KT950740|MOBF	ABRRXR010000057.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.059, whole genome shotgun sequence	290	11671	39	288	10815	11064	250	10	96.0	86.0	86.0	minus	3.04e-114	407	oriT
NC_019986|MOB_unknown	ABRRXR010000057.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.059, whole genome shotgun sequence	100	11671	1	100	11195	11294	100	2	98.0	100.0	100.0	minus	9.98e-45	174	oriT
000621__CP009126_00005|rep_cluster_1304	ABRRXR010000038.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.038, whole genome shotgun sequence	918	30688	6	918	22029	22941	914	14	98.249	99.0	99.0	plus	0.0	1598	replicon
CP000974_00005|rep_cluster_2358	ABRRXR010000057.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.059, whole genome shotgun sequence	528	11671	3	524	8816	9322	525	56	85.333	99.0	99.0	plus	5.44e-149	523	replicon
000435__NC_009344_00001|rep_cluster_1155	ABRRXR010000062.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.064, whole genome shotgun sequence	957	7927	2	952	1700	2656	967	158	80.972	99.0	99.0	plus	0.0	743	replicon
X01654|ColE10	ABRRXR010000069.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.072, whole genome shotgun sequence	177	6300	1	177	4732	4908	177	11	93.785	100.0	100.0	plus	3.1200000000000004e-72	267	replicon
CP009126_00025|MOBC	ABRRXR010000038.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.038, whole genome shotgun sequence	248	30688	1	248	3188	3931	248	0	100.0	100.0	100.0	minus	4.1599999999999998e-168	511	relaxase
CP009870_00005|MOBQ	ABRRXR010000062.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.064, whole genome shotgun sequence	365	7927	1	156	3	470	156	5	96.795	43.0	96.0	minus	3.9e-100	322	relaxase
NC_010695_00006|MOBQ	ABRRXR010000062.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.064, whole genome shotgun sequence	369	7927	172	369	7325	7924	200	32	83.0	54.0	96.0	minus	1.0199999999999999e-94	306	relaxase
CP010360_00062|MOBP	ABRRXR010000064.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.066, whole genome shotgun sequence	667	7430	1	663	2751	4739	667	65	89.055	99.0	99.0	plus	0.0	1060	relaxase
CP009870_00005|MOBQ	ABRRXR010000069.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.072, whole genome shotgun sequence	365	6300	1	365	1621	2733	371	36	88.679	100.0	100.0	minus	0.0	641	relaxase
NC_021523_00003|MOBQ	ABRRXR010000075.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.079, whole genome shotgun sequence	311	3658	1	311	1494	2426	311	1	99.678	100.0	100.0	plus	0.0	647	relaxase
NC_008757_00079|MPF_T	ABRRXR010000050.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.052, whole genome shotgun sequence	337	20721	1	329	8355	9341	329	55	83.283	98.0	98.0	minus	1.42e-153	474	mate-pair-formation
NC_022344_00330|MPF_T	ABRRXR010000050.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.052, whole genome shotgun sequence	234	20721	1	234	9341	10042	234	23	90.171	100.0	100.0	minus	4.6e-143	439	mate-pair-formation
NC_008757_00075|MPF_T	ABRRXR010000050.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.052, whole genome shotgun sequence	813	20721	1	806	12563	14968	806	94	87.841	99.0	99.0	minus	0.0	1401	mate-pair-formation
NC_022344_00321|MPF_T	ABRRXR010000050.1 Yersinia enterocolitica strain 01469413 SAMN40951178-rid21438693.denovo.052, whole genome shotgun sequence	667	20721	1	667	17176	19179	670	60	90.299	100.0	100.0	minus	0.0	1160	mate-pair-formation
