qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
JQ319772|MOBH	DANMRO010000049.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.denovo.050, whole genome shotgun sequence	398	38515	1	398	8618	9015	398	0	100.0	100.0	100.0	minus	0.0	736	oriT
002101__NC_004564_00056|rep_cluster_645	DANMRO010000046.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.denovo.047, whole genome shotgun sequence	1167	40484	1	1167	1812	2978	1167	5	99.572	100.0	100.0	plus	0.0	2128	replicon
000092__CP025470|IncC	DANMRO010000049.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.denovo.050, whole genome shotgun sequence	1101	38515	1	1101	6701	7801	1101	0	100.0	100.0	100.0	minus	0.0	2034	replicon
CP017588_00047|rep_cluster_2203	DANMRO010000098.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.denovo.105, whole genome shotgun sequence	867	6403	39	856	1633	2450	822	155	80.17	94.0	94.0	minus	2.37e-174	608	replicon
CP001049|IncFII	DANMRO010000098.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.denovo.105, whole genome shotgun sequence	227	6403	1	227	2480	2706	227	2	99.119	100.0	100.0	minus	6.3e-115	409	replicon
NC_012885_00072|MOBH	DANMRO010000033.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.denovo.033, whole genome shotgun sequence	987	57651	1	986	19313	22285	993	107	88.318	99.0	99.0	plus	0.0	1595	relaxase
NC_012690_00071|MOBH	DANMRO010000033.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.denovo.033, whole genome shotgun sequence	458	57651	245	458	28846	29487	214	4	98.131	47.0	100.0	plus	1.45e-139	440	relaxase
NC_015475_00074|MOBF	DANMRO010000081.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.denovo.086, whole genome shotgun sequence	149	11472	1	149	127	573	149	3	97.987	100.0	100.0	minus	1.28e-94	296	relaxase
NC_012690_00071|MOBH	DANMRO010000119.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.guided.055, whole genome shotgun sequence	458	29962	245	458	2581	3222	214	4	98.131	47.0	100.0	minus	1.42e-139	440	relaxase
NC_012885_00072|MOBH	DANMRO010000119.1 TPA_asm: Yersinia enterocolitica strain Yersinia isolate NX18118 SAMN19699914-rid14945623.guided.055, whole genome shotgun sequence	987	29962	1	986	9783	12755	993	107	88.318	99.0	99.0	minus	0.0	1595	relaxase
